Name,xPos,yPos,Mass,Radius,uX,uy
SUN,0,0,1.989E+033,695510000,0,0
MERCURY ,57900000000,0,3.3E+023,2439500,0,47400
VENUS ,108200000000,0,4.87E+024,6052000,0,35000
EARTH ,149600000000,0,5.97E+024,6378000,0,29800
MOON ,384000000,0,7.3E+022,1737500,0,1000
MARS ,227900000000,0,6.42E+023,3396000,0,24100
JUPITER ,778600000000,0,1.898E+027,71492000,0,13100
SATURN ,1433500000000,0,5.68E+026,60268000,0,9700
URANUS ,2872500000000,0,8.68E+025,25559000,0,6800
NEPTUNE ,4495100000000,0,1.02E+026,24764000,0,5400
PLUTO ,5906400000000,0,1.46E+022,1185000,0,4700
